dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.571093,11.001296,0.200000,2.000000,10.000000,50.000000,0.015093
0.200000,5.124091,11.022689,0.753412,2.767060,3.835302,-30.823490,0.061631
0.200000,6.050239,11.113052,1.683958,4.652729,9.428345,27.965215,0.130898
0.200000,7.353635,11.338804,3.006760,6.614009,9.806400,1.890275,0.207770
0.200000,9.040565,11.755863,4.744480,8.688599,10.372948,2.832739,0.269770
0.200000,10.940582,12.311004,6.723936,9.897283,6.043418,-21.647649,0.290276
0.200000,12.853548,12.860843,8.714354,9.952088,0.274030,-28.846942,0.261500
0.200000,14.594715,13.271554,10.503305,8.944755,-5.036668,-26.553486,0.195652
0.200000,15.976328,13.493449,11.902623,6.996591,-9.740818,-23.520753,0.119422
0.200000,16.961191,13.579795,12.891263,4.943201,-10.266951,-2.630666,0.054033
0.200000,17.525165,13.598850,13.455560,2.821484,-10.608586,-1.708173,0.013125
0.200000,17.700000,13.600000,13.630398,0.874191,-9.736462,4.360618,0.000000
0.200000,17.700000,13.600000,13.630398,0.000000,-4.370957,26.827525,0.000000
