dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.586185,10.001409,0.200000,2.000000,10.000000,50.000000,0.015093
0.200000,5.185683,10.024587,0.800000,4.000000,10.000000,0.000000,0.061631
0.200000,6.180764,10.121607,1.800000,6.000000,10.000000,0.000000,0.130898
0.200000,7.559913,10.360311,3.200000,8.000000,10.000000,0.000000,0.207770
0.200000,9.307074,10.792031,5.000000,10.000000,10.000000,0.000000,0.269770
0.200000,11.226798,11.352839,7.000000,10.000000,0.000000,-50.000000,0.290276
0.200000,13.112078,11.894839,8.961714,9.617141,-1.914295,-9.571475,0.261500
0.200000,14.789121,12.290633,10.685142,7.617141,-10.000000,-40.428525,0.195652
0.200000,16.095466,12.500571,12.008571,5.617141,-10.000000,0.000000,0.119422
0.200000,17.015198,12.581254,12.931999,3.617141,-10.000000,0.000000,0.054033
0.200000,17.538290,12.598936,13.455427,1.617141,-10.000000,0.000000,0.013125
0.200000,17.700000,12.600000,13.617141,0.000000,-8.085705,9.571475,0.000000
0.200000,17.700000,12.600000,13.617141,0.000000,0.000000,40.428525,0.000000
