dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.601277,9.001523,0.200000,2.000000,10.000000,50.000000,0.015093
0.200000,5.247274,9.026486,0.846479,3.232395,6.161977,-19.190114,0.061631
0.200000,6.311289,9.130162,1.915533,5.345267,10.564358,22.011906,0.130898
0.200000,7.766191,9.381817,3.392039,7.382534,10.186333,-1.890125,0.207770
0.200000,9.573584,9.828199,5.253739,9.308497,9.629815,-2.782591,0.269770
0.200000,11.513014,10.394674,7.274205,10.102333,3.969182,-28.303168,0.290276
0.200000,13.370608,10.928836,9.207074,9.664345,-2.189941,-30.795612,0.261500
0.200000,14.983527,11.309712,10.864353,8.286396,-6.889746,-23.499026,0.195652
0.200000,16.214605,11.507694,12.111249,6.234478,-10.259590,-16.849218,0.119422
0.200000,17.069205,11.582714,12.969136,4.289433,-9.725224,2.671830,0.054033
0.200000,17.551415,11.599022,13.451622,2.412431,-9.385011,1.701062,0.013125
0.200000,17.700000,11.600000,13.600210,0.742940,-8.347451,5.187800,0.000000
0.200000,17.700000,11.600000,13.600210,0.000000,-3.714702,23.163745,0.000000
