dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,52.662677,129.633761,0.200000,2.000000,10.000000,50.000000,0.000079
0.200000,53.311556,129.632083,0.848880,3.244402,6.222012,-18.889940,6.278004
0.200000,54.408629,129.621562,1.946004,5.485618,11.206080,24.920339,6.269175
0.200000,55.945657,129.590443,3.483347,7.686713,11.005475,-1.003024,6.256688
0.200000,57.923328,129.521966,5.462203,9.894281,11.037838,0.161817,6.240426
0.200000,60.121951,129.407745,7.663791,11.007939,5.568288,-27.347750,6.222096
0.200000,62.320897,129.252763,9.868192,11.022007,0.070340,-27.489741,6.203510
0.200000,64.519123,129.056453,12.075166,11.034870,0.064317,-0.030118,6.184692
0.200000,66.715528,128.818332,14.284441,11.046374,0.057520,-0.033983,6.165664
0.200000,68.908963,128.538006,16.495717,11.056378,0.050021,-0.037494,6.146455
0.200000,71.098241,128.215182,18.708668,11.064758,0.041899,-0.040612,6.127091
0.200000,73.282185,127.849664,20.922989,11.071602,0.034221,-0.038389,6.107605
0.200000,75.459553,127.441372,23.138306,11.076587,0.024922,-0.046494,6.088027
0.200000,77.629114,126.990337,25.354255,11.079746,0.015794,-0.045642,6.068392
0.200000,79.789621,126.496710,27.570436,11.080903,0.005785,-0.050046,6.048735
0.200000,81.939889,125.960751,29.786492,11.080282,-0.003104,-0.044443,6.029091
0.200000,84.078689,125.382852,32.001990,11.077489,-0.013962,-0.054293,6.009497
0.200000,86.204863,124.763512,34.216533,11.072713,-0.023881,-0.049596,5.989990
0.200000,88.317299,124.103345,36.429722,11.065944,-0.033846,-0.049822,5.970605
0.200000,90.414936,123.403072,38.641161,11.057197,-0.043737,-0.049458,5.951380
0.200000,92.496779,122.663516,40.850462,11.046507,-0.053447,-0.048546,5.932350
0.200000,94.561905,121.885596,43.057249,11.033932,-0.062874,-0.047136,5.913548
0.200000,96.609472,121.070315,45.261158,11.019546,-0.071931,-0.045285,5.895008
0.200000,98.638726,120.218753,47.461846,11.003438,-0.080542,-0.043055,5.876761
0.200000,100.649001,119.332059,49.658988,10.985709,-0.088644,-0.040511,5.858836
0.200000,102.639727,118.411435,51.852282,10.966472,-0.096188,-0.037721,5.841261
0.200000,104.610430,117.458131,54.041451,10.945844,-0.103138,-0.034749,5.824061
0.200000,106.560735,116.473431,56.226245,10.923969,-0.109373,-0.031177,5.807260
0.200000,108.490355,115.458650,58.406431,10.900932,-0.115189,-0.029077,5.790877
0.200000,110.399097,114.415117,60.581805,10.876873,-0.120292,-0.025518,5.774931
0.200000,112.286860,113.344172,62.752191,10.851925,-0.124738,-0.022229,5.759440
0.200000,114.153628,112.247154,64.917433,10.826213,-0.128561,-0.019116,5.744416
0.200000,115.999467,111.125394,67.077402,10.799842,-0.131856,-0.016472,5.729871
0.200000,117.824516,109.980216,69.231987,10.772928,-0.134572,-0.013583,5.715817
0.200000,119.628988,108.812920,71.381103,10.745578,-0.136747,-0.010872,5.702259
0.200000,121.413157,107.624787,73.524679,10.717883,-0.138475,-0.008640,5.689205
0.200000,123.177361,106.417072,75.662667,10.689938,-0.139728,-0.006266,5.676660
0.200000,124.921989,105.190999,77.795032,10.661826,-0.140557,-0.004145,5.664625
0.200000,126.647478,103.947761,79.921756,10.633618,-0.141039,-0.002407,5.653104
0.200000,128.354307,102.688520,82.042830,10.605370,-0.141244,-0.001025,5.642096
0.200000,130.042993,101.414401,84.158258,10.577143,-0.141134,0.000548,5.631602
0.200000,131.714087,100.126496,86.268058,10.548996,-0.140732,0.002008,5.621619
0.200000,133.368166,98.825863,88.372250,10.520963,-0.140169,0.002817,5.612146
0.200000,135.005832,97.513523,90.470865,10.493075,-0.139438,0.003655,5.603181
0.200000,136.627706,96.190468,92.563936,10.465356,-0.138594,0.004219,5.594719
0.200000,138.234423,94.857656,94.651502,10.437827,-0.137648,0.004728,5.586758
0.200000,139.826637,93.516011,96.733605,10.410517,-0.136546,0.005514,5.579294
0.200000,141.405007,92.166430,98.810291,10.383428,-0.135446,0.005500,5.572322
0.200000,142.970203,90.809780,100.881604,10.356565,-0.134318,0.005637,5.565839
0.200000,144.522898,89.446903,102.947589,10.329928,-0.133184,0.005668,5.559840
0.200000,146.063769,88.078614,105.008292,10.303515,-0.132063,0.005605,5.554321
0.200000,147.593495,86.705708,107.063757,10.277321,-0.130972,0.005458,5.549279
0.200000,149.112754,85.328955,109.114024,10.251336,-0.129925,0.005235,5.544709
0.200000,150.622224,83.949109,111.159134,10.225549,-0.128936,0.004943,5.540608
0.200000,152.122578,82.566905,113.199122,10.199943,-0.128030,0.004530,5.536972
0.200000,153.614490,81.183060,115.234024,10.174509,-0.127169,0.004305,5.533799
0.200000,155.098625,79.798281,117.263869,10.149225,-0.126417,0.003761,5.531086
0.200000,156.575645,78.413259,119.288684,10.124073,-0.125760,0.003285,5.528830
0.200000,158.046207,77.028678,121.308490,10.099033,-0.125204,0.002779,5.527030
0.200000,159.510961,75.645211,123.323306,10.074082,-0.124755,0.002248,5.525683
0.200000,160.970549,74.263524,125.333146,10.049199,-0.124415,0.001699,5.524788
0.200000,162.425607,72.884278,127.338018,10.024361,-0.124188,0.001135,5.524345
0.200000,163.876765,71.508132,129.337928,9.999546,-0.124076,0.000562,5.524354
0.200000,165.324642,70.135739,131.332874,9.974730,-0.124079,-0.000015,5.524813
0.200000,166.769851,68.767754,133.322852,9.949891,-0.124197,-0.000593,5.525724
0.200000,168.212996,67.404830,135.307853,9.925005,-0.124430,-0.001166,5.527088
0.200000,169.654672,66.047624,137.287863,9.900049,-0.124776,-0.001730,5.528905
0.200000,171.095466,64.696795,139.262863,9.875003,-0.125232,-0.002280,5.531178
0.200000,172.535955,63.353006,141.232832,9.849844,-0.125794,-0.002810,5.533908
0.200000,173.976706,62.016925,143.197743,9.824552,-0.126458,-0.003317,5.537098
0.200000,175.418276,60.689229,145.157564,9.799109,-0.127217,-0.003794,5.540750
0.200000,176.861211,59.370598,147.112264,9.773496,-0.128063,-0.004234,5.544868
0.200000,178.306048,58.061724,149.061803,9.747699,-0.128990,-0.004632,5.549455
0.200000,179.753311,56.763306,151.006144,9.721701,-0.129986,-0.004979,5.554515
0.200000,181.203512,55.476053,152.945242,9.695494,-0.131039,-0.005269,5.560051
0.200000,182.657151,54.200682,154.879056,9.669070,-0.132117,-0.005390,5.566068
0.200000,184.114715,52.937924,156.807541,9.642422,-0.133238,-0.005601,5.572569
0.200000,185.576677,51.688518,158.730649,9.615543,-0.134399,-0.005808,5.579559
0.200000,187.043494,50.453216,160.648337,9.588436,-0.135533,-0.005671,5.587042
0.200000,188.515609,49.232778,162.560558,9.561108,-0.136639,-0.005530,5.595021
0.200000,189.993448,48.027976,164.467272,9.533569,-0.137693,-0.005269,5.603501
0.200000,191.477422,46.839590,166.368439,9.505836,-0.138669,-0.004876,5.612485
0.200000,192.967922,45.668411,168.264027,9.477938,-0.139490,-0.004108,5.621977
0.200000,194.465321,44.515236,170.154005,9.449890,-0.140239,-0.003745,5.631978
0.200000,195.969971,43.380871,172.038349,9.421724,-0.140829,-0.002948,5.642491
0.200000,197.482205,42.266128,173.917047,9.393488,-0.141181,-0.001761,5.653518
0.200000,199.002334,41.171820,175.790093,9.365231,-0.141287,-0.000529,5.665058
0.200000,200.530648,40.098762,177.657497,9.337020,-0.141054,0.001162,5.677111
0.200000,202.067412,39.047772,179.519276,9.308897,-0.140616,0.002192,5.689676
0.200000,203.612867,38.019663,181.375466,9.280947,-0.139749,0.004332,5.702748
0.200000,205.167231,37.015243,183.226116,9.253253,-0.138467,0.006410,5.716324
0.200000,206.586166,36.124613,184.901407,8.376453,-4.384003,-21.227678,5.729079
0.200000,207.710059,35.437156,186.218879,6.587362,-8.945451,-22.807239,5.739418
0.200000,208.522813,34.949993,187.166453,4.737867,-9.247475,-1.510123,5.747022
0.200000,209.021540,34.655222,187.745779,2.896632,-9.206178,0.206488,5.751738
0.200000,209.204460,34.547904,187.957857,1.060387,-9.181227,0.124753,5.753478
0.200000,209.216811,34.540673,187.972169,0.071562,-4.944121,21.185528,5.753596
0.200000,209.216811,34.540673,187.972169,0.000000,-0.357811,22.931552,5.753596
