dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,51.906298,128.847325,0.200000,2.000000,10.000000,50.000000,0.000227
0.200000,52.459142,128.848636,0.752846,2.764230,3.821149,-30.894253,0.004514
0.200000,53.380999,128.856075,1.674733,4.609436,9.226030,27.024404,0.011615
0.200000,54.672503,128.877449,2.966414,6.458403,9.244837,0.094034,0.021461
0.200000,56.334477,128.923536,4.629027,8.313065,9.273309,0.142361,0.033950
0.200000,58.182901,128.998980,6.478990,9.249813,4.683740,-22.947847,0.047588
0.200000,60.033044,129.099541,8.331864,9.264372,0.072793,-23.054736,0.060962
0.200000,61.884749,129.224787,10.187800,9.279679,0.076536,0.018718,0.074058
0.200000,63.737867,129.374261,12.046936,9.295681,0.080009,0.017365,0.086862
0.200000,65.592259,129.547482,13.909400,9.312323,0.083209,0.015999,0.099364
0.200000,67.447797,129.743947,15.775310,9.329550,0.086136,0.014634,0.111553
0.200000,69.304366,129.963132,17.644773,9.347313,0.088818,0.013410,0.123419
0.200000,71.161860,130.204495,19.517883,9.365550,0.091182,0.011821,0.134954
0.200000,73.020187,130.467477,21.394725,9.384212,0.093310,0.010642,0.146149
0.200000,74.879266,130.751501,23.275375,9.403251,0.095195,0.009424,0.156998
0.200000,76.739030,131.055977,25.159899,9.422619,0.096843,0.008238,0.167495
0.200000,78.599426,131.380302,27.048354,9.442273,0.098266,0.007113,0.177635
0.200000,80.460413,131.723861,28.940787,9.462168,0.099476,0.006054,0.187413
0.200000,82.321963,132.086029,30.837241,9.482266,0.100490,0.005066,0.196826
0.200000,84.184063,132.466172,32.737747,9.502530,0.101320,0.004152,0.205870
0.200000,86.046711,132.863647,34.642332,9.522925,0.101976,0.003281,0.214543
0.200000,87.909920,133.277806,36.551016,9.543422,0.102486,0.002548,0.222844
0.200000,89.773716,133.707995,38.463815,9.563994,0.102859,0.001865,0.230771
0.200000,91.638139,134.153553,40.380738,9.584616,0.103109,0.001250,0.238323
0.200000,93.503240,134.613820,42.301791,9.605266,0.103251,0.000708,0.245500
0.200000,95.369083,135.088127,44.226976,9.625925,0.103298,0.000236,0.252301
0.200000,97.235744,135.575808,46.156292,9.646577,0.103259,-0.000196,0.258726
0.200000,99.103313,136.076191,48.089733,9.667208,0.103154,-0.000524,0.264777
0.200000,100.971890,136.588604,50.027295,9.687809,0.103004,-0.000747,0.270453
0.200000,102.841585,137.112375,51.968969,9.708369,0.102803,-0.001008,0.275755
0.200000,104.712521,137.646831,53.914745,9.728883,0.102567,-0.001178,0.280684
0.200000,106.584831,138.191298,55.864614,9.749344,0.102307,-0.001300,0.285241
0.200000,108.458657,138.745101,57.818564,9.769751,0.102032,-0.001376,0.289428
0.200000,110.334151,139.307566,59.776585,9.790101,0.101750,-0.001410,0.293244
0.200000,112.211473,139.878019,61.738663,9.810395,0.101469,-0.001407,0.296691
0.200000,114.090792,140.455784,63.704790,9.830633,0.101194,-0.001374,0.299771
0.200000,115.972286,141.040186,65.674954,9.850819,0.100927,-0.001332,0.302483
0.200000,117.856140,141.630549,67.649145,9.870957,0.100694,-0.001169,0.304829
0.200000,119.742544,142.226196,69.627356,9.891052,0.100475,-0.001093,0.306810
0.200000,121.631697,142.826450,71.609578,9.911109,0.100284,-0.000957,0.308426
0.200000,123.523802,143.430630,73.595804,9.931134,0.100123,-0.000804,0.309678
0.200000,125.419069,144.038056,75.586031,9.951133,0.099995,-0.000637,0.310567
0.200000,127.317710,144.648043,77.580254,9.971114,0.099903,-0.000461,0.311092
0.200000,129.219944,145.259906,79.578470,9.991083,0.099848,-0.000277,0.311254
0.200000,131.125992,145.872954,81.580680,10.011049,0.099830,-0.000089,0.311053
0.200000,133.036076,146.486495,83.586884,10.031019,0.099850,0.000101,0.310489
0.200000,134.950423,147.099830,85.597084,10.051001,0.099908,0.000289,0.309562
