dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,50.531370,128.845494,0.200000,2.000000,10.000000,50.000000,6.271626
0.200000,51.213813,128.835044,0.882523,3.412616,7.063078,-14.684610,6.264124
0.200000,52.350896,128.806258,2.019970,5.687236,11.373104,21.550130,6.251628
0.200000,53.941648,128.742129,3.612015,7.960222,11.364927,-0.040884,6.234168
0.200000,55.983741,128.619042,5.657814,10.228995,11.343866,-0.105304,6.211818
0.200000,58.246687,128.429186,7.928710,11.354483,5.627441,-28.582126,6.187186
0.200000,60.501148,128.184308,10.196431,11.338602,-0.079407,-28.534239,6.162843
0.200000,62.745000,127.885567,12.460083,11.318260,-0.101712,-0.111526,6.138869
0.200000,64.976270,127.534375,14.718822,11.293696,-0.122818,-0.105532,6.115343
0.200000,67.193143,127.132375,16.971848,11.265133,-0.142815,-0.099983,6.092336
0.200000,69.393985,126.681417,19.218417,11.232842,-0.161455,-0.093200,6.069916
0.200000,71.577362,126.183523,21.457844,11.197136,-0.178531,-0.085381,6.048146
0.200000,73.742050,125.640861,23.689515,11.158355,-0.193902,-0.076855,6.027081
0.200000,75.887040,125.055714,25.912886,11.116857,-0.207489,-0.067935,6.006771
0.200000,78.011540,124.430444,28.127489,11.073011,-0.219232,-0.058713,5.987259
0.200000,80.114965,123.767474,30.332919,11.027153,-0.229289,-0.050284,5.968580
0.200000,82.196931,123.069254,32.528846,10.979633,-0.237603,-0.041571,5.950766
0.200000,84.257245,122.338241,34.715001,10.930775,-0.244291,-0.033439,5.933841
0.200000,86.295887,121.576880,36.891174,10.880867,-0.249539,-0.026244,5.917823
0.200000,88.312996,120.787590,39.057210,10.830179,-0.253440,-0.019506,5.902727
0.200000,90.308855,119.972745,41.212998,10.778944,-0.256175,-0.013672,5.888562
0.200000,92.283872,119.134672,43.358472,10.727367,-0.257883,-0.008541,5.875336
0.200000,94.238562,118.275639,45.493596,10.675620,-0.258734,-0.004254,5.863051
0.200000,96.173536,117.397849,47.618364,10.623839,-0.258904,-0.000852,5.851707
0.200000,98.089483,116.503445,49.732793,10.572145,-0.258472,0.002163,5.841304
0.200000,99.987155,115.594503,51.836916,10.520618,-0.257633,0.004193,5.831837
0.200000,101.867356,114.673033,53.930780,10.469316,-0.256513,0.005599,5.823304
0.200000,103.730933,113.740987,56.014437,10.418285,-0.255156,0.006786,5.815698
0.200000,105.578758,112.800255,58.087945,10.367540,-0.253720,0.007179,5.809015
0.200000,107.411729,111.852675,60.151362,10.317085,-0.252276,0.007221,5.803250
0.200000,109.230752,110.900032,62.204743,10.266905,-0.250901,0.006874,5.798397
0.200000,111.036742,109.944068,64.248139,10.216981,-0.249620,0.006405,5.794451
0.200000,112.830612,108.986482,66.281594,10.167275,-0.248527,0.005465,5.791410
0.200000,114.613268,108.028938,68.305143,10.117746,-0.247646,0.004408,5.789269
0.200000,116.385605,107.073070,70.318812,10.068345,-0.247007,0.003196,5.788027
0.200000,118.148503,106.120483,72.322616,10.019020,-0.246626,0.001901,5.787681
0.200000,119.902822,105.172764,74.316559,9.969716,-0.246521,0.000528,5.788231
0.200000,121.649400,104.231478,76.300635,9.920376,-0.246697,-0.000878,5.789679
0.200000,123.389049,103.298180,78.274824,9.870947,-0.247145,-0.002242,5.792025
0.200000,125.122552,102.374412,80.239099,9.821377,-0.247849,-0.003519,5.795273
0.200000,126.850661,101.461711,82.193424,9.771620,-0.248786,-0.004684,5.799425
0.200000,128.574093,100.561607,84.137750,9.721633,-0.249938,-0.005760,5.804486
0.200000,130.293531,99.675628,86.072027,9.671384,-0.251245,-0.006539,5.810461
0.200000,132.009620,98.805300,87.996197,9.620852,-0.252660,-0.007071,5.817354
0.200000,133.722964,97.952147,89.910203,9.570031,-0.254102,-0.007213,5.825171
0.200000,135.434127,97.117691,91.813988,9.518922,-0.255549,-0.007234,5.833918
0.200000,137.143629,96.303452,93.707498,9.467550,-0.256860,-0.006554,5.843598
0.200000,138.851946,95.510946,95.590690,9.415963,-0.257936,-0.005382,5.854216
0.200000,140.559510,94.741679,97.463535,9.364222,-0.258703,-0.003837,5.865775
0.200000,142.173906,94.036644,99.225167,8.808164,-2.780291,-12.607936,5.875104
0.200000,144.075685,93.206563,101.300209,10.375207,7.835215,53.077531,5.868282
0.200000,145.964824,92.367426,103.367332,10.335616,-0.197954,-40.165848,5.862180
0.200000,147.842016,91.520644,105.426674,10.296710,-0.194530,0.017121,5.856785
0.200000,149.707953,90.667580,107.478365,10.258456,-0.191268,0.016310,5.852085
0.200000,151.563315,89.809560,109.522519,10.220770,-0.188430,0.014188,5.848071
0.200000,153.408765,88.947877,111.559229,10.183549,-0.186104,0.011632,5.844734
0.200000,155.244963,88.083789,113.588581,10.146760,-0.183946,0.010788,5.842066
0.200000,157.072544,87.218534,115.610639,10.110288,-0.182360,0.007933,5.840060
0.200000,158.892130,86.353329,117.625453,10.074070,-0.181091,0.006346,5.838714
0.200000,160.704326,85.489372,119.633057,10.038019,-0.180255,0.004180,5.838022
0.200000,162.509714,84.627853,121.633467,10.002054,-0.179827,0.002140,5.837985
0.200000,164.308860,83.769953,123.626686,9.966092,-0.179809,0.000086,5.838602
