dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,50.277068,106.846963,0.200000,2.000000,10.000000,50.000000,6.271626
0.200000,50.794482,106.839041,0.717474,2.587372,2.936859,-35.315707,6.264124
0.200000,51.656747,106.817211,1.580016,4.312708,8.626679,28.449103,6.251628
0.200000,52.863691,106.768554,2.787940,6.039619,8.634556,0.039381,6.234168
0.200000,54.415002,106.675044,4.342067,7.770638,8.655099,0.102717,6.211818
0.200000,56.137942,106.530483,6.071061,8.644967,4.371641,-21.417288,6.187186
0.200000,57.859997,106.343422,7.803246,8.660929,0.079810,-21.459159,6.162843
0.200000,59.581060,106.114267,9.539498,8.681257,0.101643,0.109170,6.138869
0.200000,61.301049,105.843530,11.280664,8.705832,0.122876,0.106161,6.115343
0.200000,63.019898,105.531819,13.027548,8.734419,0.142934,0.100290,6.092336
0.200000,64.737553,105.179844,14.780895,8.766736,0.161582,0.093243,6.069916
0.200000,66.453978,104.788408,16.541388,8.802465,0.178649,0.085336,6.048146
0.200000,68.169151,104.358408,18.309642,8.841268,0.194013,0.076816,6.027081
0.200000,69.883073,103.890828,20.086200,8.882788,0.207601,0.067941,6.006771
0.200000,71.595763,103.386733,21.871534,8.926673,0.219425,0.059121,5.987259
0.200000,73.307266,102.847263,23.666045,8.972555,0.229407,0.049909,5.968580
0.200000,75.017655,102.273630,25.470065,9.020097,0.237715,0.041540,5.950766
0.200000,76.727036,101.667103,27.283862,9.068986,0.244440,0.033626,5.933841
0.200000,78.435550,101.029007,29.107645,9.118918,0.249660,0.026100,5.917823
0.200000,80.143376,100.360713,30.941571,9.169630,0.253564,0.019517,5.902727
0.200000,81.850732,99.663630,32.785749,9.220887,0.256284,0.013601,5.888562
0.200000,83.557882,98.939200,34.640246,9.272486,0.257995,0.008559,5.875336
0.200000,85.265132,98.188888,36.505097,9.324256,0.258848,0.004262,5.863051
0.200000,86.972832,97.414180,38.380307,9.376050,0.258972,0.000622,5.851707
0.200000,88.681380,96.616575,40.265860,9.427764,0.258572,-0.002000,5.841304
0.200000,90.391218,95.797584,42.161722,9.479310,0.257727,-0.004227,5.831837
0.200000,92.102831,94.958722,44.067846,9.530621,0.256555,-0.005857,5.823304
0.200000,93.816751,94.101511,45.984179,9.581667,0.255228,-0.006637,5.815698
0.200000,95.533551,93.227473,47.910664,9.632424,0.253787,-0.007208,5.809015
0.200000,97.253844,92.338132,49.847242,9.682890,0.252328,-0.007291,5.803250
0.200000,98.978283,91.435016,51.793857,9.733074,0.250922,-0.007034,5.798397
0.200000,100.707559,90.519651,53.750458,9.783006,0.249662,-0.006298,5.794451
0.200000,102.442398,89.593570,55.717002,9.832718,0.248559,-0.005517,5.791410
0.200000,104.183561,88.658311,57.693452,9.882251,0.247667,-0.004459,5.789269
0.200000,105.931835,87.715418,59.679783,9.931654,0.247016,-0.003254,5.788027
0.200000,107.688039,86.766448,61.675979,9.980981,0.246632,-0.001922,5.787681
0.200000,109.453017,85.812971,63.682036,10.030285,0.246522,-0.000546,5.788231
0.200000,111.227634,84.856577,65.697961,10.079623,0.246688,0.000830,5.789679
0.200000,113.012772,83.898879,67.723770,10.129048,0.247127,0.002193,5.792025
0.200000,114.809330,82.941516,69.759493,10.178614,0.247828,0.003505,5.795273
0.200000,116.618218,81.986159,71.805167,10.228367,0.248768,0.004698,5.799425
0.200000,118.440347,81.034518,73.860836,10.278347,0.249898,0.005653,5.804486
0.200000,120.276632,80.088343,75.926553,10.328586,0.251195,0.006484,5.810461
0.200000,122.127977,79.149432,78.002374,10.379106,0.252602,0.007036,5.817354
0.200000,123.995276,78.219633,80.088359,10.429921,0.254072,0.007347,5.825171
0.200000,125.879396,77.300852,82.184562,10.481015,0.255472,0.007002,5.833918
0.200000,127.781173,76.395051,84.291036,10.532370,0.256773,0.006503,5.843598
0.200000,129.701403,75.504258,86.407824,10.583944,0.257872,0.005498,5.854216
0.200000,131.640824,74.630562,88.534958,10.635667,0.258616,0.003716,5.865775
0.200000,133.443234,73.843196,90.501841,9.834416,-4.006258,-21.324368,5.875104
0.200000,135.207451,73.073148,92.426792,9.624755,-1.048302,14.789781,5.868282
0.200000,136.973898,72.288501,94.359666,9.664370,0.198076,6.231888,5.862180
0.200000,138.742895,71.490517,96.300318,9.703259,0.194443,-0.018165,5.856785
0.200000,140.514803,70.680435,98.248623,9.741526,0.191334,-0.015546,5.852085
0.200000,142.290011,69.859476,100.204470,9.779233,0.188537,-0.013982,5.848071
0.200000,144.068932,69.028853,102.167756,9.816432,0.185993,-0.012719,5.844734
0.200000,145.852012,68.189758,104.138404,9.853242,0.184051,-0.009710,5.842066
0.200000,147.639719,67.343378,106.116346,9.889710,0.182339,-0.008563,5.840060
0.200000,149.432548,66.490894,108.101533,9.925932,0.181111,-0.006138,5.838714
0.200000,151.231016,65.633481,110.093930,9.961985,0.180264,-0.004238,5.838022
0.200000,153.035664,64.772316,112.093520,9.997950,0.179825,-0.002192,5.837985
0.200000,154.847053,63.908578,114.100302,10.033909,0.179796,-0.000148,5.838602
0.200000,156.665766,63.043454,116.114292,10.069950,0.180202,0.002033,5.839873
0.200000,158.492403,62.178144,118.135520,10.106141,0.180955,0.003765,5.841803
0.200000,160.327585,61.313861,120.164036,10.142583,0.182210,0.006272,5.844396
0.200000,162.171947,60.451839,122.199903,10.179335,0.183763,0.007767,5.847656
0.200000,164.026143,59.593337,124.243201,10.216490,0.185776,0.010066,5.851593
0.200000,165.890839,58.739641,126.294028,10.254132,0.188210,0.012168,5.856213
0.200000,167.766711,57.892073,128.352490,10.292312,0.190897,0.013435,5.861528
0.200000,169.654451,57.051993,130.418717,10.331135,0.194114,0.016085,5.867549
0.200000,171.554752,56.220806,132.492848,10.370655,0.197601,0.017437,5.874289
0.200000,173.468313,55.399964,134.575033,10.410926,0.201358,0.018784,5.881760
0.200000,175.395833,54.590978,136.665438,10.452024,0.205487,0.020646,5.889980
0.200000,177.338011,53.795415,138.764241,10.494017,0.209964,0.022383,5.898962
0.200000,179.295531,53.014910,140.871626,10.536925,0.214542,0.022891,5.908725
0.200000,181.269060,52.251168,142.987783,10.580785,0.219301,0.023792,5.919286
0.200000,183.259246,51.505971,145.112909,10.625627,0.224208,0.024538,5.930662
0.200000,185.266701,50.781180,147.247200,10.671457,0.229148,0.024701,5.942871
0.200000,187.291998,50.078741,149.390853,10.718263,0.234029,0.024405,5.955932
0.200000,189.335652,49.400687,151.544055,10.766011,0.238744,0.023575,5.969861
0.200000,191.398114,48.749140,153.706984,10.814645,0.243170,0.022126,5.984675
0.200000,193.479751,48.126312,155.879800,10.864078,0.247164,0.019972,6.000387
0.200000,195.580836,47.534501,158.062641,10.914209,0.250655,0.017456,6.017012
0.200000,197.701521,46.976092,160.255614,10.964861,0.253262,0.013032,6.034557
0.200000,199.841823,46.453544,162.458781,11.015838,0.254881,0.008099,6.053030
0.200000,202.001604,45.969386,164.672164,11.066913,0.255378,0.002484,6.072432
0.200000,204.180557,45.526195,166.895731,11.117838,0.254622,-0.003778,6.092759
0.200000,206.378166,45.126588,169.129377,11.168227,0.251947,-0.013380,6.114004
0.200000,208.593708,44.773192,171.372927,11.217749,0.247611,-0.021676,6.136149
0.200000,210.826226,44.468618,173.626125,11.265991,0.241206,-0.032025,6.159171
0.200000,213.074512,44.215432,175.888622,11.312488,0.232485,-0.043604,6.183040
0.200000,215.337104,44.016114,178.159976,11.356770,0.221413,-0.055364,6.207714
0.200000,217.612277,43.873022,180.439645,11.398343,0.207867,-0.067730,6.233144
0.200000,219.898051,43.788350,182.726986,11.436704,0.191803,-0.080320,6.259272
0.200000,222.192189,43.764082,185.021253,11.471336,0.173159,-0.093219,0.002844
0.200000,224.492242,43.801952,187.321617,11.501820,0.152420,-0.103694,0.030157
0.200000,226.795550,43.903403,189.627159,11.527708,0.129439,-0.114904,0.057940
0.200000,229.099285,44.069553,191.936877,11.548594,0.104433,-0.125034,0.086103
0.200000,231.400513,44.301167,194.249731,11.564270,0.078377,-0.130278,0.114552
0.200000,233.696224,44.598640,196.564636,11.574521,0.051257,-0.135598,0.143187
0.200000,235.983395,44.961982,198.880488,11.579260,0.023694,-0.137817,0.171908
0.200000,238.259025,45.390824,201.196172,11.578423,-0.004182,-0.139381,0.200614
0.200000,240.520225,45.884431,203.510621,11.572242,-0.030905,-0.133613,0.229208
0.200000,242.764249,46.441721,205.822810,11.560944,-0.056492,-0.127937,0.257595
0.200000,244.988502,47.061292,208.131742,11.544663,-0.081406,-0.124567,0.285687
0.200000,247.190636,47.741466,210.436527,11.523923,-0.103699,-0.111467,0.313402
0.200000,249.368550,48.480331,212.736360,11.499164,-0.123793,-0.100469,0.340666
0.200000,251.520403,49.275783,215.030529,11.470845,-0.141598,-0.089024,0.367414
0.200000,253.644589,50.125555,217.318384,11.439276,-0.157846,-0.081241,0.393590
0.200000,255.739854,51.027306,219.599456,11.405360,-0.169579,-0.058667,0.419147
0.200000,257.805118,51.978598,221.873279,11.369117,-0.181215,-0.058179,0.444047
0.200000,259.839636,52.976998,224.139568,11.331446,-0.188353,-0.035688,0.468260
0.200000,261.842866,54.020069,226.398091,11.292615,-0.194155,-0.029013,0.491766
0.200000,263.814456,55.105390,228.648666,11.252875,-0.198700,-0.022725,0.514551
