dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,50.493466,150.889481,0.200000,2.000000,10.000000,50.000000,0.013987
0.200000,51.075539,150.897150,0.782124,2.910618,4.553090,-27.234551,0.012362
0.200000,52.045939,150.907841,1.752583,4.852295,9.708384,25.776469,0.009677
0.200000,53.405074,150.918465,3.111759,6.795883,9.717942,0.047793,0.005966
0.200000,55.153494,150.924783,4.860191,8.742158,9.731376,0.067172,0.001278
0.200000,57.097417,150.922293,6.804115,9.719619,4.887303,-24.220367,6.279365
0.200000,59.042597,150.909999,8.749334,9.726096,0.032384,-24.274598,6.274386
0.200000,60.988997,150.888119,10.695857,9.732615,0.032595,0.001056,6.269524
0.200000,62.936581,150.856873,12.643691,9.739174,0.032795,0.000999,6.264782
0.200000,64.885316,150.816480,14.592845,9.745768,0.032973,0.000891,6.260160
0.200000,66.835171,150.767164,16.543324,9.752393,0.033125,0.000760,6.255658
0.200000,68.786118,150.709149,18.495133,9.759047,0.033272,0.000734,6.251277
0.200000,70.738132,150.642661,20.448279,9.765728,0.033404,0.000663,6.247018
0.200000,72.691189,150.567927,22.402765,9.772433,0.033523,0.000595,6.242880
0.200000,74.645270,150.485175,24.358597,9.779160,0.033636,0.000564,6.238865
0.200000,76.600355,150.394635,26.315778,9.785904,0.033722,0.000431,6.234973
0.200000,78.556430,150.296538,28.274311,9.792665,0.033805,0.000414,6.231203
0.200000,80.513481,150.191116,30.234200,9.799441,0.033878,0.000364,6.227557
0.200000,82.471497,150.078601,32.195445,9.806229,0.033941,0.000315,6.224034
0.200000,84.430469,149.959227,34.158051,9.813028,0.033996,0.000278,6.220634
0.200000,86.390390,149.833228,36.122018,9.819836,0.034040,0.000217,6.217359
0.200000,88.351256,149.700840,38.087349,9.826652,0.034077,0.000187,6.214207
0.200000,90.313065,149.562297,40.054044,9.833474,0.034108,0.000156,6.211179
0.200000,92.275816,149.417837,42.022104,9.840300,0.034133,0.000124,6.208276
0.200000,94.239511,149.267697,43.991530,9.847130,0.034152,0.000092,6.205496
0.200000,96.204153,149.112113,45.962322,9.853963,0.034165,0.000067,6.202841
0.200000,98.169747,148.951323,47.934482,9.860798,0.034174,0.000048,6.200310
0.200000,100.136301,148.785567,49.908009,9.867634,0.034180,0.000026,6.197904
0.200000,102.103822,148.615083,51.882903,9.874471,0.034181,0.000008,6.195621
0.200000,104.072323,148.440110,53.859164,9.881306,0.034179,-0.000012,6.193463
0.200000,106.041813,148.260888,55.836792,9.888141,0.034175,-0.000022,6.191430
0.200000,108.012307,148.077657,57.815788,9.894975,0.034170,-0.000024,6.189520
0.200000,109.983820,147.890656,59.796149,9.901808,0.034162,-0.000039,6.187735
0.200000,111.956367,147.700127,61.777877,9.908638,0.034153,-0.000045,6.186074
0.200000,113.929967,147.506311,63.760970,9.915467,0.034142,-0.000053,6.184537
0.200000,115.904637,147.309449,65.745429,9.922293,0.034130,-0.000060,6.183124
0.200000,117.880397,147.109782,67.731252,9.929117,0.034121,-0.000045,6.181835
0.200000,119.857268,146.907553,69.718440,9.935939,0.034111,-0.000055,6.180670
0.200000,121.835271,146.703003,71.706992,9.942759,0.034100,-0.000054,6.179630
0.200000,123.814430,146.496377,73.696907,9.949577,0.034090,-0.000051,6.178713
0.200000,125.794767,146.287916,75.688186,9.956393,0.034079,-0.000055,6.177920
0.200000,127.776306,146.077863,77.680827,9.963207,0.034072,-0.000034,6.177251
0.200000,129.759072,145.866464,79.674831,9.970020,0.034064,-0.000037,6.176706
0.200000,131.743091,145.653961,81.670197,9.976831,0.034058,-0.000032,6.176285
0.200000,133.728387,145.440600,83.666926,9.983642,0.034053,-0.000026,6.175987
0.200000,135.714987,145.226626,85.665016,9.990452,0.034049,-0.000020,6.175814
0.200000,137.702917,145.012284,87.664468,9.997261,0.034047,-0.000009,6.175764
0.200000,139.692204,144.797820,89.665282,10.004070,0.034046,-0.000003,6.175838
