dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,50.493466,172.886336,0.200000,2.000000,10.000000,50.000000,6.269198
0.200000,51.075539,172.878667,0.782124,2.910618,4.553090,-27.234551,6.270823
0.200000,52.045939,172.867976,1.752583,4.852295,9.708384,25.776469,6.273509
0.200000,53.405074,172.857352,3.111759,6.795883,9.717942,0.047793,6.277220
0.200000,55.153494,172.851034,4.860191,8.742158,9.731376,0.067172,6.281908
0.200000,57.097417,172.853524,6.804115,9.719619,4.887303,-24.220367,0.003820
0.200000,59.042597,172.865818,8.749334,9.726096,0.032384,-24.274598,0.008800
0.200000,60.988997,172.887698,10.695857,9.732615,0.032595,0.001056,0.013661
0.200000,62.936581,172.918944,12.643691,9.739174,0.032795,0.000999,0.018403
0.200000,64.885316,172.959337,14.592845,9.745768,0.032973,0.000891,0.023026
0.200000,66.835171,173.008653,16.543324,9.752393,0.033125,0.000760,0.027527
0.200000,68.786118,173.066668,18.495133,9.759047,0.033272,0.000734,0.031908
0.200000,70.738132,173.133156,20.448279,9.765728,0.033404,0.000663,0.036167
0.200000,72.691189,173.207890,22.402765,9.772433,0.033523,0.000595,0.040305
0.200000,74.645270,173.290642,24.358597,9.779160,0.033636,0.000564,0.044320
0.200000,76.600355,173.381182,26.315778,9.785904,0.033722,0.000431,0.048213
0.200000,78.556430,173.479279,28.274311,9.792665,0.033805,0.000414,0.051982
0.200000,80.513481,173.584701,30.234200,9.799441,0.033878,0.000364,0.055629
0.200000,82.471497,173.697216,32.195445,9.806229,0.033941,0.000315,0.059152
0.200000,84.430469,173.816590,34.158051,9.813028,0.033996,0.000278,0.062551
0.200000,86.390390,173.942589,36.122018,9.819836,0.034040,0.000217,0.065827
0.200000,88.351256,174.074977,38.087349,9.826652,0.034077,0.000187,0.068978
0.200000,90.313065,174.213520,40.054044,9.833474,0.034108,0.000156,0.072006
0.200000,92.275816,174.357980,42.022104,9.840300,0.034133,0.000124,0.074910
0.200000,94.239511,174.508120,43.991530,9.847130,0.034152,0.000092,0.077689
0.200000,96.204153,174.663704,45.962322,9.853963,0.034165,0.000067,0.080344
0.200000,98.169747,174.824493,47.934482,9.860798,0.034174,0.000048,0.082875
0.200000,100.136301,174.990250,49.908009,9.867634,0.034180,0.000026,0.085282
0.200000,102.103822,175.160734,51.882903,9.874471,0.034181,0.000008,0.087564
0.200000,104.072323,175.335707,53.859164,9.881306,0.034179,-0.000012,0.089722
0.200000,106.041813,175.514929,55.836792,9.888141,0.034175,-0.000022,0.091756
0.200000,108.012307,175.698160,57.815788,9.894975,0.034170,-0.000024,0.093665
0.200000,109.983820,175.885161,59.796149,9.901808,0.034162,-0.000039,0.095451
0.200000,111.956367,176.075690,61.777877,9.908638,0.034153,-0.000045,0.097112
0.200000,113.929967,176.269506,63.760970,9.915467,0.034142,-0.000053,0.098649
0.200000,115.904637,176.466368,65.745429,9.922293,0.034130,-0.000060,0.100061
0.200000,117.880397,176.666035,67.731252,9.929117,0.034121,-0.000045,0.101350
0.200000,119.857268,176.868264,69.718440,9.935939,0.034111,-0.000055,0.102515
0.200000,121.835271,177.072813,71.706992,9.942759,0.034100,-0.000054,0.103556
0.200000,123.814430,177.279440,73.696907,9.949577,0.034090,-0.000051,0.104472
0.200000,125.794767,177.487901,75.688186,9.956393,0.034079,-0.000055,0.105265
0.200000,127.776306,177.697954,77.680827,9.963207,0.034072,-0.000034,0.105934
0.200000,129.759072,177.909353,79.674831,9.970020,0.034064,-0.000037,0.106479
0.200000,131.743091,178.121856,81.670197,9.976831,0.034058,-0.000032,0.106901
0.200000,133.728387,178.335216,83.666926,9.983642,0.034053,-0.000026,0.107198
0.200000,135.714987,178.549191,85.665016,9.990452,0.034049,-0.000020,0.107372
0.200000,137.702917,178.763533,87.664468,9.997261,0.034047,-0.000009,0.107421
0.200000,139.692204,178.977997,89.665282,10.004070,0.034046,-0.000003,0.107347
0.200000,141.682874,179.192337,91.667458,10.010880,0.034047,0.000003,0.107150
0.200000,143.674954,179.406305,93.670996,10.017690,0.034049,0.000011,0.106828
0.200000,145.668470,179.619653,95.675896,10.024500,0.034053,0.000019,0.106383
0.200000,147.663449,179.832135,97.682159,10.031312,0.034059,0.000029,0.105813
0.200000,149.659917,180.043501,99.689784,10.038125,0.034064,0.000028,0.105120
0.200000,151.657899,180.253501,101.698772,10.044939,0.034072,0.000037,0.104303
0.200000,153.657420,180.461886,103.709123,10.051755,0.034080,0.000042,0.103362
0.200000,155.658506,180.668406,105.720837,10.058573,0.034090,0.000047,0.102297
0.200000,157.661181,180.872809,107.733916,10.065394,0.034102,0.000061,0.101108
0.200000,159.665467,181.074843,109.748359,10.072216,0.034111,0.000043,0.099795
0.200000,161.671387,181.274256,111.764167,10.079040,0.034121,0.000053,0.098358
0.200000,163.678963,181.470795,113.781340,10.085866,0.034132,0.000053,0.096797
0.200000,165.688215,181.664205,115.799879,10.092695,0.034142,0.000052,0.095111
0.200000,167.699162,181.854232,117.819785,10.099526,0.034154,0.000058,0.093302
0.200000,169.711821,182.040621,119.841056,10.106358,0.034161,0.000038,0.091368
0.200000,171.726209,182.223116,121.863694,10.113191,0.034168,0.000033,0.089310
0.200000,173.742342,182.401460,123.887700,10.120026,0.034174,0.000028,0.087127
0.200000,175.760232,182.575396,125.913072,10.126862,0.034177,0.000018,0.084821
0.200000,177.779890,182.744666,127.939811,10.133697,0.034179,0.000009,0.082390
0.200000,179.801327,182.909011,129.967918,10.140533,0.034176,-0.000013,0.079835
0.200000,181.824550,183.068171,131.997391,10.147367,0.034170,-0.000034,0.077155
0.200000,183.849564,183.221888,134.028231,10.154199,0.034160,-0.000049,0.074352
0.200000,185.876372,183.369900,136.060437,10.161028,0.034145,-0.000072,0.071424
0.200000,187.904976,183.511947,138.094007,10.167853,0.034126,-0.000099,0.068372
0.200000,189.935372,183.647768,140.128942,10.174673,0.034099,-0.000132,0.065196
0.200000,191.967558,183.777100,142.165239,10.181486,0.034067,-0.000159,0.061896
0.200000,194.001526,183.899681,144.202897,10.188292,0.034029,-0.000194,0.058472
0.200000,196.037266,184.015250,146.241915,10.195088,0.033982,-0.000232,0.054925
0.200000,198.074765,184.123543,148.282290,10.201873,0.033926,-0.000280,0.051255
0.200000,200.114006,184.224298,150.324019,10.208645,0.033858,-0.000340,0.047461
0.200000,202.154971,184.317252,152.367099,10.215403,0.033787,-0.000353,0.043545
0.200000,204.197637,184.402143,154.411528,10.222143,0.033703,-0.000421,0.039505
0.200000,206.241976,184.478708,156.457301,10.228865,0.033608,-0.000477,0.035344
0.200000,208.287960,184.546686,158.504414,10.235565,0.033500,-0.000537,0.031061
0.200000,210.156908,184.601015,160.374150,9.348684,-4.434405,-22.339524,0.027045
0.200000,211.643463,184.638810,161.861186,7.435180,-9.567519,-25.665573,0.023782
0.200000,212.720764,184.663142,162.938762,5.387879,-10.236503,-3.344920,0.021378
0.200000,213.388320,184.676913,163.606460,3.338487,-10.246960,-0.052285,0.019872
0.200000,213.645831,184.681956,163.864020,1.287801,-10.253432,-0.032356,0.019288
0.200000,213.672049,184.682461,163.890243,0.131114,-5.783435,22.349984,0.019228
0.200000,213.672049,184.682461,163.890243,0.000000,-0.655570,25.639324,0.019228
