dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,50.185753,150.888488,0.200000,2.000000,10.000000,50.000000,6.269198
0.200000,50.803575,150.880348,0.817876,3.089380,5.446898,-22.765509,6.270823
0.200000,51.833053,150.869006,1.847416,5.147700,10.291602,24.223522,6.273509
0.200000,53.273832,150.857744,3.288239,7.204114,10.282068,-0.047674,6.277220
0.200000,55.125384,150.851052,5.139803,9.257824,10.268551,-0.067581,6.281908
0.200000,57.181454,150.853685,7.195875,10.280359,5.112673,-25.779392,0.003820
0.200000,59.236190,150.866670,9.250652,10.273882,-0.032384,-25.725288,0.008800
0.200000,61.289533,150.889751,11.304124,10.267363,-0.032594,-0.001050,0.013661
0.200000,63.341430,150.922670,13.356285,10.260807,-0.032781,-0.000933,0.018403
0.200000,65.391832,150.965169,15.407129,10.254215,-0.032956,-0.000876,0.023026
0.200000,67.440695,151.016988,17.456647,10.247590,-0.033126,-0.000852,0.027527
0.200000,69.487978,151.077866,19.504834,10.240936,-0.033272,-0.000726,0.031908
0.200000,71.533642,151.147543,21.551685,10.234255,-0.033403,-0.000656,0.036167
0.200000,73.577657,151.225757,23.597195,10.227551,-0.033521,-0.000589,0.040305
0.200000,75.619992,151.312246,25.641360,10.220827,-0.033619,-0.000492,0.044320
0.200000,77.660621,151.406746,27.684177,10.214083,-0.033721,-0.000510,0.048213
0.200000,79.699523,151.508996,29.725641,10.207322,-0.033804,-0.000413,0.051982
0.200000,81.736679,151.618732,31.765751,10.200547,-0.033875,-0.000359,0.055629
0.200000,83.772074,151.735693,33.804503,10.193760,-0.033938,-0.000311,0.059152
0.200000,85.805694,151.859615,35.841895,10.186962,-0.033989,-0.000259,0.062551
0.200000,87.837530,151.990236,37.877926,10.180155,-0.034037,-0.000237,0.065827
0.200000,89.867577,152.127295,39.912594,10.173340,-0.034075,-0.000191,0.068978
0.200000,91.895829,152.270529,41.945898,10.166519,-0.034105,-0.000152,0.072006
0.200000,93.922287,152.419677,43.977836,10.159693,-0.034129,-0.000121,0.074910
0.200000,95.946950,152.574478,46.008409,10.152863,-0.034149,-0.000096,0.077689
0.200000,97.969823,152.734673,48.037615,10.146030,-0.034163,-0.000070,0.080344
0.200000,99.990911,152.900001,50.065454,10.139196,-0.034171,-0.000043,0.082875
0.200000,102.010223,153.070204,52.091926,10.132361,-0.034176,-0.000025,0.085282
0.200000,104.027769,153.245022,54.117031,10.125525,-0.034178,-0.000008,0.087564
0.200000,106.043559,153.424198,56.140769,10.118690,-0.034178,0.000002,0.089722
0.200000,108.057608,153.607474,58.163140,10.111855,-0.034174,0.000017,0.091756
0.200000,110.069931,153.794595,60.184145,10.105022,-0.034167,0.000037,0.093665
0.200000,112.080545,153.985304,62.203783,10.098190,-0.034159,0.000039,0.095451
0.200000,114.089467,154.179346,64.222055,10.091360,-0.034150,0.000045,0.097112
0.200000,116.096718,154.376466,66.238961,10.084532,-0.034141,0.000046,0.098649
0.200000,118.102317,154.576412,68.254502,10.077705,-0.034132,0.000046,0.100061
0.200000,120.106286,154.778929,70.268678,10.070881,-0.034119,0.000064,0.101350
0.200000,122.108648,154.983765,72.281490,10.064060,-0.034108,0.000054,0.102515
0.200000,124.109427,155.190670,74.292938,10.057240,-0.034098,0.000052,0.103556
0.200000,126.108645,155.399391,76.303023,10.050423,-0.034088,0.000049,0.104472
0.200000,128.106329,155.609678,78.311744,10.043607,-0.034080,0.000038,0.105265
0.200000,130.102504,155.821281,80.319103,10.036793,-0.034070,0.000050,0.105934
0.200000,132.097194,156.033952,82.325099,10.029980,-0.034063,0.000037,0.106479
0.200000,134.090428,156.247441,84.329732,10.023169,-0.034057,0.000030,0.106901
0.200000,136.082230,156.461501,86.333004,10.016358,-0.034052,0.000023,0.107198
0.200000,138.072627,156.675884,88.334914,10.009548,-0.034049,0.000016,0.107372
0.200000,140.061647,156.890344,90.335461,10.002739,-0.034047,0.000012,0.107421
0.200000,142.049315,157.104634,92.334647,9.995930,-0.034046,0.000003,0.107347
0.200000,144.035658,157.318507,94.332471,9.989120,-0.034047,-0.000006,0.107150
0.200000,146.020702,157.531720,96.328933,9.982310,-0.034050,-0.000013,0.106828
0.200000,148.004474,157.744026,98.324033,9.975500,-0.034054,-0.000019,0.106383
0.200000,149.986998,157.955181,100.317771,9.968688,-0.034058,-0.000023,0.105813
0.200000,151.968300,158.164941,102.310146,9.961875,-0.034065,-0.000036,0.105120
0.200000,153.948405,158.373063,104.301158,9.955060,-0.034073,-0.000039,0.104303
0.200000,155.927336,158.579302,106.290807,9.948244,-0.034082,-0.000044,0.103362
0.200000,157.905116,158.783417,108.279092,9.941425,-0.034092,-0.000048,0.102297
0.200000,159.881768,158.985164,110.266013,9.934606,-0.034100,-0.000040,0.101108
0.200000,161.857314,159.184302,112.251570,9.927783,-0.034112,-0.000063,0.099795
0.200000,163.831773,159.380587,114.235761,9.920958,-0.034124,-0.000055,0.098358
0.200000,165.805165,159.573780,116.218587,9.914131,-0.034134,-0.000055,0.096797
0.200000,167.777509,159.763638,118.200048,9.907302,-0.034145,-0.000053,0.095111
0.200000,169.748821,159.949920,120.180142,9.900472,-0.034153,-0.000040,0.093302
0.200000,171.719118,160.132386,122.158870,9.893639,-0.034163,-0.000050,0.091368
0.200000,173.688414,160.310797,124.136231,9.886805,-0.034171,-0.000041,0.089310
0.200000,175.656722,160.484911,126.112225,9.879970,-0.034177,-0.000028,0.087127
0.200000,177.624053,160.654489,128.086852,9.873134,-0.034180,-0.000017,0.084821
0.200000,179.590419,160.819293,130.060111,9.866298,-0.034180,0.000001,0.082390
0.200000,181.555826,160.979083,132.032004,9.859462,-0.034178,0.000009,0.079835
0.200000,183.520283,161.133621,134.002529,9.852627,-0.034173,0.000025,0.077155
0.200000,185.483793,161.282670,135.971688,9.845795,-0.034163,0.000051,0.074352
0.200000,187.446359,161.425991,137.939481,9.838965,-0.034148,0.000074,0.071424
0.200000,189.407984,161.563349,139.905909,9.832139,-0.034128,0.000099,0.068372
0.200000,191.368666,161.694507,141.870973,9.825319,-0.034103,0.000125,0.065196
0.200000,193.328402,161.819228,143.834673,9.818504,-0.034071,0.000162,0.061896
0.200000,195.287187,161.937280,145.797013,9.811698,-0.034031,0.000198,0.058472
0.200000,197.245015,162.048426,147.757993,9.804901,-0.033984,0.000237,0.054925
0.200000,199.201876,162.152434,149.717616,9.798115,-0.033929,0.000274,0.051255
0.200000,201.157759,162.249071,151.675885,9.791342,-0.033868,0.000306,0.047461
0.200000,203.112649,162.338106,153.632802,9.784584,-0.033790,0.000389,0.043545
0.200000,205.066531,162.419308,155.588370,9.777843,-0.033705,0.000427,0.039505
0.200000,207.019386,162.492448,157.542594,9.771121,-0.033608,0.000484,0.035344
0.200000,208.971193,162.557297,159.495479,9.764421,-0.033499,0.000544,0.031061
0.200000,210.751836,162.609061,161.276874,8.906975,-4.287232,-21.268663,0.027045
0.200000,212.166611,162.645031,162.692105,7.076159,-9.154081,-24.334243,0.023782
0.200000,213.191041,162.668169,163.716797,5.123460,-9.763494,-3.047069,0.021378
0.200000,213.825478,162.681257,164.351369,3.172857,-9.753015,0.052396,0.019872
0.200000,214.070140,162.686048,164.596078,1.223545,-9.746559,0.032282,0.019288
0.200000,214.095047,162.686528,164.620990,0.124561,-5.494923,21.258180,0.019228
0.200000,214.095047,162.686528,164.620990,0.000000,-0.622803,24.360599,0.019228
