dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,50.276292,221.000342,0.200000,2.000000,10.000000,50.000000,0.011384
0.200000,50.803356,221.008090,0.727121,2.635606,3.178029,-34.109857,0.018009
0.200000,51.681854,221.028759,1.605863,4.393709,8.790517,28.062444,0.029033
0.200000,52.911832,221.073955,2.836671,6.154040,8.801656,0.055696,0.044412
0.200000,54.493270,221.159839,4.420439,7.918841,8.824000,0.111720,0.064067
0.200000,56.250319,221.291701,6.182429,8.809948,4.455536,-21.842322,0.085701
0.200000,58.007086,221.461601,7.947392,8.824818,0.074353,-21.905918,0.107065
0.200000,59.763408,221.669133,9.715933,8.842704,0.089430,0.075386,0.128104
0.200000,61.519138,221.913820,11.488632,8.863492,0.103940,0.072553,0.148765
0.200000,63.274142,222.195104,13.266034,8.887013,0.117601,0.068305,0.168998
0.200000,65.028302,222.512359,15.048653,8.913092,0.130395,0.063967,0.188758
0.200000,66.781520,222.864887,16.836962,8.941546,0.142270,0.059377,0.208000
0.200000,68.533713,223.251923,18.631391,8.972145,0.152999,0.053642,0.226686
0.200000,70.284816,223.672640,20.432326,9.004673,0.162640,0.048205,0.244780
0.200000,72.034789,224.126152,22.240108,9.038914,0.171202,0.042812,0.262252
0.200000,73.783612,224.611517,24.055036,9.074637,0.178615,0.037063,0.279075
0.200000,75.531291,225.127746,25.877362,9.111631,0.184973,0.031790,0.295225
0.200000,77.277858,225.673805,27.707301,9.149694,0.190315,0.026709,0.310684
0.200000,79.023373,226.248618,29.545026,9.188627,0.194663,0.021743,0.325435
0.200000,80.767928,226.851079,31.390678,9.228258,0.198154,0.017451,0.339465
0.200000,82.511643,227.480048,33.244362,9.268421,0.200814,0.013304,0.352765
0.200000,84.254672,228.134364,35.106157,9.308974,0.202765,0.009753,0.365328
0.200000,85.997200,228.812844,36.976114,9.349787,0.204069,0.006521,0.377149
0.200000,87.739448,229.514289,38.854265,9.390756,0.204844,0.003872,0.388225
0.200000,89.481667,230.237486,40.740622,9.431784,0.205138,0.001472,0.398556
0.200000,91.224143,230.981215,42.635181,9.472796,0.205060,-0.000390,0.408141
0.200000,92.967194,231.744248,44.537928,9.513733,0.204687,-0.001867,0.416981
0.200000,94.711169,232.525352,46.448836,9.554543,0.204048,-0.003191,0.425080
0.200000,96.456450,233.323292,48.367877,9.595201,0.203290,-0.003792,0.432440
0.200000,98.203449,234.136831,50.295012,9.635675,0.202370,-0.004600,0.439063
0.200000,99.952606,234.964732,52.230204,9.675963,0.201441,-0.004645,0.444955
0.200000,101.704389,235.805757,54.173415,9.716056,0.200463,-0.004890,0.450117
0.200000,103.459295,236.658668,56.124608,9.755965,0.199545,-0.004590,0.454554
0.200000,105.217844,237.522227,58.083748,9.795698,0.198669,-0.004378,0.458269
0.200000,106.980581,238.395193,60.050804,9.835280,0.197907,-0.003813,0.461263
0.200000,108.748071,239.276322,62.025750,9.874729,0.197247,-0.003299,0.463541
0.200000,110.520903,240.164366,64.008565,9.914077,0.196739,-0.002541,0.465103
0.200000,112.299683,241.058073,65.999235,9.953351,0.196371,-0.001839,0.465951
0.200000,114.085033,241.956179,67.997752,9.992585,0.196173,-0.000989,0.466086
0.200000,115.877592,242.857413,70.004115,10.031813,0.196139,-0.000171,0.465508
0.200000,117.678011,243.760490,72.018328,10.071067,0.196269,0.000652,0.464216
0.200000,119.486951,244.664110,74.040405,10.110382,0.196575,0.001532,0.462209
0.200000,121.305082,245.566953,76.070362,10.149785,0.197016,0.002205,0.459485
0.200000,123.133079,246.467681,78.108224,10.189312,0.197632,0.003080,0.456043
0.200000,124.971617,247.364930,80.154020,10.228979,0.198334,0.003508,0.451880
0.200000,126.821374,248.257312,82.207783,10.268816,0.199189,0.004274,0.446992
0.200000,128.683016,249.143407,84.269549,10.308829,0.200065,0.004382,0.441377
0.200000,130.557207,250.021765,86.339357,10.349038,0.201045,0.004898,0.435030
0.200000,132.444591,250.890900,88.417243,10.389433,0.201972,0.004635,0.427949
0.200000,134.345795,251.749289,90.503246,10.430015,0.202912,0.004699,0.420130
0.200000,136.261419,252.595373,92.597398,10.470760,0.203724,0.004063,0.411571
0.200000,138.031260,253.361416,94.525911,9.642562,-4.140990,-21.723571,0.407691
0.200000,139.861320,254.152505,96.519636,9.968626,1.630321,28.856554,0.408261
0.200000,141.696015,254.946312,98.518695,9.995294,0.133339,-7.484912,0.408347
0.200000,143.535729,255.741948,100.523086,10.021956,0.133309,-0.000150,0.407948
0.200000,145.380854,256.538519,102.532815,10.048644,0.133441,0.000661,0.407063
0.200000,147.231789,257.335123,104.547893,10.075390,0.133730,0.001446,0.405692
0.200000,149.088941,258.130851,106.568338,10.102227,0.134185,0.002277,0.403834
0.200000,150.952724,258.924784,108.594174,10.129183,0.134779,0.002969,0.401485
0.200000,152.823554,259.715989,110.625433,10.156294,0.135557,0.003887,0.398643
0.200000,154.701853,260.503520,112.662149,10.183579,0.136425,0.004340,0.395305
0.200000,156.588045,261.286416,114.704366,10.211083,0.137523,0.005490,0.391467
0.200000,158.482555,262.063697,116.752128,10.238812,0.138641,0.005590,0.387125
0.200000,160.385807,262.834363,118.805489,10.266807,0.139979,0.006693,0.382274
0.200000,162.298223,263.597393,120.864506,10.295083,0.141378,0.006994,0.376909
0.200000,164.220219,264.351741,122.929237,10.323655,0.142859,0.007406,0.371024
0.200000,166.152211,265.096339,124.999749,10.352558,0.144514,0.008273,0.364613
0.200000,168.094598,265.830089,127.076105,10.381783,0.146126,0.008060,0.357671
0.200000,170.047772,266.551864,129.158374,10.411347,0.147821,0.008473,0.350192
0.200000,172.012109,267.260508,131.246627,10.441262,0.149573,0.008763,0.342168
0.200000,173.987969,267.954835,133.340931,10.471523,0.151308,0.008675,0.333595
0.200000,175.975688,268.633622,135.441354,10.502115,0.152961,0.008263,0.324465
0.200000,177.975576,269.295616,137.547961,10.533032,0.154583,0.008112,0.314772
0.200000,179.987916,269.939531,139.660811,10.564252,0.156101,0.007587,0.304512
0.200000,182.012953,270.564044,141.779961,10.595746,0.157471,0.006854,0.293680
0.200000,184.050896,271.167800,143.905456,10.627477,0.158656,0.005922,0.282270
0.200000,186.101904,271.749414,146.037335,10.659397,0.159596,0.004702,0.270280
0.200000,188.166087,272.307468,148.175624,10.691442,0.160225,0.003147,0.257707
