dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,50.526732,199.001768,0.200000,2.000000,10.000000,50.000000,0.011384
0.200000,51.199541,199.011657,0.872881,3.364404,6.822020,-15.889898,0.018009
0.200000,52.320481,199.038030,1.994131,5.606253,11.209244,21.936115,0.029033
0.200000,53.888585,199.095649,3.563294,7.845812,11.197798,-0.057227,0.044412
0.200000,55.901788,199.204974,5.579463,10.080844,11.175155,-0.113214,0.064067
0.200000,58.133442,199.372444,7.817392,11.189648,5.544020,-28.155677,0.085701
0.200000,60.358024,199.587573,10.052352,11.174800,-0.074236,-28.091281,0.107065
0.200000,62.573995,199.849404,12.283737,11.156925,-0.089378,-0.075707,0.128104
0.200000,64.779910,200.156812,14.510969,11.136162,-0.103814,-0.072180,0.148765
0.200000,66.974435,200.508522,16.733499,11.112648,-0.117570,-0.068779,0.168998
0.200000,69.156354,200.903120,18.950813,11.086570,-0.130391,-0.064107,0.188758
0.200000,71.324590,201.339076,21.162442,11.058144,-0.142127,-0.058682,0.208000
0.200000,73.478195,201.814757,23.367954,11.027562,-0.152911,-0.053917,0.226686
0.200000,75.616363,202.328446,25.566964,10.995047,-0.162576,-0.048324,0.244780
0.200000,77.738434,202.878365,27.759130,10.960831,-0.171080,-0.042523,0.262252
0.200000,79.843880,203.462684,29.944155,10.925124,-0.178533,-0.037264,0.279075
0.200000,81.932314,204.079542,32.121784,10.888147,-0.184887,-0.031768,0.295225
0.200000,84.003476,204.727061,34.291805,10.850106,-0.190203,-0.026580,0.310684
0.200000,86.057227,205.403357,36.454043,10.811188,-0.194591,-0.021943,0.325435
0.200000,88.093545,206.106553,38.608359,10.771577,-0.198054,-0.017315,0.339465
0.200000,90.112510,206.834787,40.754645,10.731430,-0.200735,-0.013402,0.352765
0.200000,92.114299,207.586219,42.892824,10.690895,-0.202679,-0.009724,0.365328
0.200000,94.099173,208.359042,45.022842,10.650094,-0.204003,-0.006621,0.377149
0.200000,96.067471,209.151479,47.144671,10.609142,-0.204761,-0.003786,0.388225
0.200000,98.019599,209.961793,49.258296,10.568126,-0.205076,-0.001576,0.398556
0.200000,99.956019,210.788287,51.363721,10.527126,-0.205001,0.000376,0.408141
0.200000,101.877246,211.629304,53.460962,10.486204,-0.204611,0.001947,0.416981
0.200000,103.783832,212.483226,55.550042,10.445400,-0.204023,0.002941,0.425080
0.200000,105.676369,213.348480,57.630993,10.404757,-0.203214,0.004046,0.432440
0.200000,107.555472,214.223527,59.703851,10.364286,-0.202352,0.004309,0.439063
0.200000,109.421782,215.106869,61.768653,10.324010,-0.201382,0.004850,0.444955
0.200000,111.275954,215.997043,63.825437,10.283921,-0.200443,0.004693,0.450117
0.200000,113.118654,216.892617,65.874241,10.244021,-0.199504,0.004698,0.454554
0.200000,114.950557,217.792192,67.915099,10.204290,-0.198653,0.004252,0.458269
0.200000,116.772338,218.694394,69.948042,10.164714,-0.197878,0.003877,0.461263
0.200000,118.584674,219.597876,71.973095,10.125267,-0.197238,0.003201,0.463541
0.200000,120.388237,220.501311,73.990280,10.085922,-0.196721,0.002584,0.465103
0.200000,122.183690,221.403394,75.999609,10.046649,-0.196368,0.001765,0.465951
0.200000,123.971690,222.302833,78.001092,10.007415,-0.196168,0.000999,0.466086
0.200000,125.752880,223.198352,79.994730,9.968188,-0.196139,0.000146,0.465508
0.200000,127.527888,224.088685,81.980516,9.928931,-0.196280,-0.000708,0.464216
0.200000,129.297328,224.972575,83.958439,9.889616,-0.196575,-0.001471,0.462209
0.200000,131.061794,225.848774,85.928481,9.850207,-0.197046,-0.002358,0.459485
0.200000,132.821861,226.716035,87.890617,9.810681,-0.197631,-0.002923,0.456043
0.200000,134.578081,227.573118,89.844818,9.771005,-0.198381,-0.003752,0.451880
0.200000,136.330986,228.418782,91.791051,9.731167,-0.199189,-0.004039,0.446992
0.200000,138.081080,229.251791,93.729280,9.691142,-0.200127,-0.004687,0.441377
0.200000,139.828841,230.070905,95.659466,9.650931,-0.201052,-0.004629,0.435030
